Country,Square_Land_Area,Coastline,Shared_Borders,Waterways
USA,9826675,19924,12048,41009
Russia,17098242,37653,22408,102000
China,9596961,14500,22457,110000
India,3287263,7000,13888,14500
France,643801,4853,4072,8501
UK,243610,12429,443,3200
Japan,377915,29751,0,1770
Turkey,783562,7200,2816,1200
Germany,357022,2389,3694,7467
Egypt,1001450,2450,2612,3500
